x_mm,y_mm,z_mm
3.600160503387451172e+01,9.750000000000000000e+01,9.500000000000000000e+01
3.600160503387451172e+01,9.750000000000000000e+01,9.600000000000000000e+01
3.600160503387451172e+01,9.750000000000000000e+01,9.700000000000000000e+01
3.600160503387451172e+01,9.750000000000000000e+01,9.800000000000000000e+01
3.700164961814880371e+01,9.200000000000000000e+01,9.400000000000000000e+01
3.700164961814880371e+01,9.200000000000000000e+01,9.500000000000000000e+01
3.800169420242309570e+01,9.200000000000000000e+01,9.550000000000000000e+01
3.800169420242309570e+01,9.150000000000000000e+01,9.600000000000000000e+01
3.800169420242309570e+01,9.150000000000000000e+01,9.700000000000000000e+01
3.700164961814880371e+01,9.200000000000000000e+01,9.700000000000000000e+01
3.800169420242309570e+01,9.200000000000000000e+01,9.750000000000000000e+01
3.800169420242309570e+01,9.300000000000000000e+01,9.350000000000000000e+01
3.800169420242309570e+01,9.250000000000000000e+01,9.400000000000000000e+01
3.800169420242309570e+01,9.250000000000000000e+01,9.500000000000000000e+01
3.800169420242309570e+01,9.250000000000000000e+01,9.800000000000000000e+01
3.800169420242309570e+01,9.250000000000000000e+01,9.900000000000000000e+01
3.800169420242309570e+01,9.250000000000000000e+01,1.000000000000000000e+02
3.800169420242309570e+01,9.300000000000000000e+01,1.005000000000000000e+02
3.700164961814880371e+01,9.400000000000000000e+01,9.300000000000000000e+01
3.800169420242309570e+01,9.400000000000000000e+01,9.250000000000000000e+01
3.800169420242309570e+01,9.350000000000000000e+01,9.300000000000000000e+01
3.800169420242309570e+01,9.350000000000000000e+01,1.010000000000000000e+02
3.800169420242309570e+01,9.400000000000000000e+01,1.015000000000000000e+02
3.800169420242309570e+01,9.500000000000000000e+01,9.250000000000000000e+01
3.800169420242309570e+01,9.450000000000000000e+01,1.020000000000000000e+02
3.700164961814880371e+01,9.500000000000000000e+01,1.030000000000000000e+02
3.800169420242309570e+01,9.500000000000000000e+01,1.025000000000000000e+02
3.800169420242309570e+01,9.600000000000000000e+01,9.250000000000000000e+01
3.700164961814880371e+01,9.600000000000000000e+01,1.020000000000000000e+02
3.800169420242309570e+01,9.600000000000000000e+01,1.025000000000000000e+02
3.700164961814880371e+01,9.700000000000000000e+01,9.300000000000000000e+01
3.800169420242309570e+01,9.700000000000000000e+01,9.250000000000000000e+01
3.700164961814880371e+01,9.700000000000000000e+01,9.900000000000000000e+01
3.700164961814880371e+01,9.700000000000000000e+01,1.000000000000000000e+02
3.800169420242309570e+01,9.700000000000000000e+01,1.005000000000000000e+02
3.800169420242309570e+01,9.650000000000000000e+01,1.010000000000000000e+02
3.800169420242309570e+01,9.650000000000000000e+01,1.020000000000000000e+02
3.800169420242309570e+01,9.750000000000000000e+01,9.300000000000000000e+01
3.800169420242309570e+01,9.750000000000000000e+01,9.400000000000000000e+01
3.700164961814880371e+01,9.800000000000000000e+01,9.500000000000000000e+01
3.800169420242309570e+01,9.800000000000000000e+01,9.450000000000000000e+01
3.700164961814880371e+01,9.800000000000000000e+01,9.600000000000000000e+01
3.700164961814880371e+01,9.800000000000000000e+01,9.700000000000000000e+01
3.800169420242309570e+01,9.800000000000000000e+01,9.750000000000000000e+01
3.800169420242309570e+01,9.750000000000000000e+01,9.800000000000000000e+01
3.800169420242309570e+01,9.750000000000000000e+01,9.900000000000000000e+01
3.800169420242309570e+01,9.750000000000000000e+01,1.000000000000000000e+02
3.800169420242309570e+01,9.850000000000000000e+01,9.500000000000000000e+01
3.800169420242309570e+01,9.850000000000000000e+01,9.600000000000000000e+01
3.800169420242309570e+01,9.850000000000000000e+01,9.700000000000000000e+01
3.900173878669738770e+01,9.200000000000000000e+01,9.500000000000000000e+01
4.000178337097167969e+01,9.200000000000000000e+01,9.450000000000000000e+01
4.000178337097167969e+01,9.150000000000000000e+01,9.500000000000000000e+01
4.000178337097167969e+01,9.150000000000000000e+01,9.600000000000000000e+01
4.000178337097167969e+01,9.150000000000000000e+01,9.700000000000000000e+01
